Item ID,Item Name,Description,Prefab,Icon,Type,Rarity,Max Stack,Weight,Basevalue
001,Dagger,Unveil the clandestine allure of the Dagger - a sleek razor-edged enigma that dances between moonlit secrets. Perfect for those who prefer a swift and silent approach this weapon promises a lethal elegance that leaves no room for mercy.,None,None,1,1,3,5,0
002,Sword,Ignite the fires of battle with the Phoenix Reckoning Blade a masterful fusion of craftsmanship and warfare. With each swing this sword tells a tale of resilience and triumph making it the weapon of choice for those who crave the glory of the battlefield.,None,None,3,2,1,30,0
003,Zweihander,Unleash the colossal power of the Titan's Fury Zweihander a weapon that embodies sheer might and intimidation. Wielded by warriors of unparalleled strength this behemoth on the battlefield strikes fear into the hearts of adversaries and secures the path to victory.,None,None,3,3,1,80,0
004,Kukri,Experience the deadly grace of the Serpent's Kiss Kukri a blade that slithers through the air with unparalleled precision. Crafted for close-quarters combat this exotic weapon is the perfect companion for those who navigate the treacherous terrain of danger.,None,None,1,2,1,15,0
005,Bayonet,Feel the thunderous force of the Thunderclap Bayonet as it merges the worlds of melee and ranged combat. This versatile attachment turns any rifle into a close-quarters powerhouse ensuring that no adversary is safe from the electrifying clash of metal.,None,None,3,1,3,10,0
006,Handgun,Meet the Viper's Whisper a handgun that epitomizes subtlety and lethality. Concealed in the shadows this sleek sidearm ensures that every shot is a calculated step towards triumph making it the weapon of choice for the cunning and precise.,None,None,3,1,2,8,0
007,Rifle,Embrace the precision of the Eclipse Marksman Rifle a weapon engineered for unmatched accuracy on the battlefield. With each shot this rifle eclipses all doubt offering long-range dominance and turning the tides in favor of those who master its deadly accuracy.,None,None,3,1,1,20,0
008,SMG,Unleash the storm with the Tempest Subjugator SMG a rapid-fire torrent of destruction that commands the battlefield. With its high rate of fire and nimble design this weapon is the embodiment of chaos perfect for those who thrive in the midst of mayhem.,None,None,3,2,1,30,0
009,HMG,Brace yourself for the Behemoth's Roar Heavy Machine Gun a relentless juggernaut on the frontlines. With its deafening firepower and unyielding strength this HMG asserts dominance turning the tide of battle with each thunderous burst.,None,None,3,3,1,90,0
010,LAW,Unleash the Seraph's Wrath Launcher a portable harbinger of destruction that rains justice from the heavens. Whether facing armoured foes or fortified positions this Light Anti-Tank Weapon ensures that nothing stands in the way of righteousness.,None,None,3,4,1,25,0
011,SniperRifle,Become the unseen force with the Phantom Precision Sniper Rifle a weapon that turns distant threats into mere shadows. This high-powered instrument of precision is the choice of the silent and patient guaranteeing a lethal impact with each carefully calculated shot.,None,None,3,3,1,35,0
012,Radio,Command the battlefield with the Vanguard Communication Nexus Radio a lifeline to allies and a conduit for strategic brilliance. Whether coordinating manoeuvres or calling for reinforcements this device ensures that the pulse of the battlefield is always at your fingertips.,None,None,1,1,2,15,0
013,Batteries,Power up with Quantum Charge Cells the cutting-edge energy source that fuels your arsenal. Compact and efficient these batteries ensure that your weapons stay charged and ready giving you the edge when the battle heats up.,None,None,1,1,8,5,0
014,ArmourShieldSmall,Equip the Guardian's Embrace Small Armour Shield a guardian spirit in the form of lightweight protection. This shield offers a perfect balance between 2 and agility providing a shielded sanctuary in the chaos of combat.,None,None,2,1,4,15,0
015,ArmourShieldLarge,Stand as an unyielding Colossus on the battlefield with the Colossus Bulwark Large Armour Shield. This formidable barrier absorbs the storm of enemy onslaughts granting you the strength to endure and emerge victorious.,None,None,2,3,2,40,0
016,ArmourBody,Adorn yourself in the Ironclad Battle gear armour that transforms warriors into living fortresses. Crafted for maximum protection without sacrificing mobility this armour ensures that you stride into battle with the unwavering confidence of an indomitable force.,None,None,2,2,1,50,0
017,ArmourFull,Ascend to the rank of an Immortal Sovereign with the Immortal Sovereign Plate Full Armour Set. Imposing and majestic this ensemble combines unmatched 2 with an aura of regal authority making you an indomitable force on the battlefield.,None,None,2,4,1,80,0
018,MedicineSmall,Rejuvenate your spirit with the Vitality Elixir Small Medicine a potion that revitalizes and restores. Whether in the heat of battle or the aftermath this elixir ensures that you remain resilient and ready for the challenges that lie ahead.,None,None,5,1,6,3,0
019,MedicineLarge,Harness the Panacea of Resilience Large Medicine a remedy that transcends affliction and restores warriors to their peak. In the face of adversity this potent elixir becomes a beacon of hope ensuring that you rise stronger from every trial.,None,None,5,3,2,5,0
020,FruitApple,Savour the crisp refreshment of Arboreal Ambrosia an apple that embodies the vitality of nature. Packed with energy and flavour this fruit is a source of immediate sustenance providing a burst of strength to fuel your journey.,None,None,5,3,5,1,0
021,FruitCherries,Indulge in the exotic allure of Crimson Essence Berries cherries that harbour the essence of vitality. Each bite is a taste of rejuvenation making these berries a natural elixir that revitalizes both body and spirit.,None,None,5,4,1,1,0
,,,,,,,,,
,,,,,,,,,
